Site Name,SWAMP Station Code,Lat,Long,Sample Date,Notes,JV_ID,Family,Amphipleuraceae,Bacillariaceae,Bathycoccaceae,Batrachospermaceae,Calotrichaceae,Chamaesiphonaceae,Characeae,Chlamydomonadaceae,Chlorellaceae,Chromulinaceae,Chroococcaceae,Chroomonadaceae,Closteriaceae,Cryptomonadaceae,Desmidiaceae,Geminigeraceae,Gonatozygaceae,Hyellaceae,Mallomonadaceae,Melosiraceae,Monodopsidaceae,Monomastigaceae,Naviculaceae,Nostocaceae,Ochromonadaceae,Peniaceae,Pinaceae,Salicaceae,Scenedesmaceae,Selenastraceae,Sellaphoraceae,Staurosiraceae,Synechococcaceae,Thalassiosiraceae,Tribonemataceae,Ulvaceae,unk_family,Zygnemataceae,No ID Family
Oregon Creek reference Jun,NA,39.39741,-121.08174,7/29/2020,,0MEH7CHZ,0MEH7CHZ.1,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762
West Fork Carson River b,633PS0259,38.7646,-119.8565,9/2/2020,duplicate,38E9A0I2,38E9A0I2.1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,23,142
Bear River,516PS0250,39.0811,-120.9944,8/28/2020,,6OQTOL3R,6OQTOL3R.1,0,47,0,0,0,0,0,0,0,0,0,0,23,11,22,11,29,0,26,240,21,0,8,0,0,0,0,0,0,0,11,10,271,0,0,0,40,0,376
SSI site 10 Jun,517DC16SD,39.22894,-121.24228,7/29/2020,,9UEWYW2S,9UEWYW2S.1,0,105,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,73,744,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,171
Little Truckee River,636PS0278,39.5055,-120.2731,8/28/2020,,B38RWO34,B38RWO34.1,0,8,0,0,0,0,0,0,0,0,0,0,139,73,10,268,0,0,0,11,25,9,0,0,0,0,0,0,0,0,44,0,0,0,0,0,87,17,949
West Fork Carson River a,633PS0259,38.7646,-119.8565,9/2/2020,,D9KE4M3W,D9KE4M3W.1,0,48,0,0,0,24,0,0,0,0,8,0,0,0,0,0,0,26,0,72,0,0,0,0,0,49,0,0,0,0,0,22,0,0,0,14,0,0,584
Stanton Creek 3,513STCAIV,39.16712,-122.50704,10/16/2020 0:00,,DHKAAL0M,DHKAAL0M.1,0,271,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,31,0,50,0,0,0,0,0,9,0,398,0,0,0,0,0,54,89,3163
SSI site 13 Jun,517DC13PP,39.25896,-121.00926,7/29/2020,,F6L847VI,F6L847VI.1,8,0,0,0,0,0,0,26,0,0,0,0,405,140,30,11,0,0,0,1591,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,465
SSI site 2 Oct,517DC2WVR,39.2682,-121.0017,10/9/2020,,HQHKQVOO,HQHKQVOO.1,0,0,0,0,0,0,0,0,0,10,0,0,0,82,40,33,0,0,177,106,0,0,8,0,0,0,0,0,0,0,0,0,768,0,0,0,385,19,437
Stony creek 2,522CE0027,39.29628,-122.551741,10/16/2020 0:00,,I2TCAGTI,I2TCAGTI.1,0,796,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,87,0,141,13,0,0,0,0,0,0,13,0,0,31,0,0,0,157,2412
Stony creek 1,522CE0027,39.291175,-122.559353,10/16/2020 0:00,,LXNSFSRM,LXNSFSRM.1,0,296,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,70,0,123,0,0,0,0,0,0,0,17,0,0,0,0,0,0,18,905
Unnamed Trib. ~.5mi above Upper Truckee R.,634UNTUTR,38.7853,43955.9818,9/2/2020,,MAX9U1SY,MAX9U1SY.1,0,35,0,0,0,62,0,0,0,9,0,0,0,91,0,0,0,27,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277
