Your Organization,Date and Time of collection,Jonah Ventures Kit #,Site name,Water Temperature (C),pH,Specific Conductivity (uS/cm),Dissolved Oxygen (mg/L),Turbidity (NTU),Sky Code,Precipitation Last 24hrs,Location in waterway,Dominant Substrate,Water Clarity, Observed Flow,Dominant Land Use,Animal Presence,Evidence of Fire,Beaufort Scale (Observed Wind),Flow (cfs),SWAMP Station Code,Sample Number,Notes,Volume of water filtered (ml),x,y
SWAMP Bioassesment,6/15/2022 2:00,UWRVB1AT,Butte Creek ~1.5mi below Spring Creek,13.4,8.6,54.8,8.8,1.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,105ps0540,,,,-122.0696,41.6203
SWAMP Bioassesment,6/15/2022 2:00,RG43NC1C,Butte Creek ~1.5mi below Spring Creek,13.4,8.6,54.8,8.8,1.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,105ps0540,,,,-122.0696,41.6203
SWAMP Bioassesment,6/8/2022 11:00,PS8NIOB4,Potato Creek ~1.3mi above EF Hayfork Cr.,12.2,8.5,12.2,9.26,2.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106wer016,,,,-123.02882,40.4895
SWAMP Bioassesment,6/8/2022 11:00,9IB9YMLB,Potato Creek ~1.3mi above EF Hayfork Cr.,12.2,8.5,12.2,9.26,2.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106wer016,,,,-123.02882,40.4895
SWAMP Bioassesment,6/7/2022 11:00,4F38BWNS,Yellow Jacket Creek ~0.2mi above EF NF Trinity R.,11.1,8.4,134.9,10.19,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106yjcent,,,,-123.1249,40.8779
SWAMP Bioassesment,6/7/2022 11:00,0BNBNGBE,Yellow Jacket Creek ~0.2mi above EF NF Trinity R.,11.1,8.4,134.9,10.19,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106yjcent,,,,-123.1249,40.8779
SWAMP Bioassesment,6/15/2022 11:00,KDGW6DC5,Sonoma Creek below Adobe Cyn. Rd.,16.4,8.6,217,9,1.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,206son300,,,,-122.5314,38.4426
SWAMP Bioassesment,6/15/2022 11:00,G93615GN,Sonoma Creek below Adobe Cyn. Rd.,16.4,8.6,217,9,1.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,206son300,,,,-122.5314,38.4426
SWAMP Bioassesment,6/1/2022 11:00,UC16AH9V,Salmon Creek upstream Hwy 1,12.6,8.4,458,9.51,0.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,308sam,,,,-121.3582,35.8157
SWAMP Bioassesment,6/1/2022 11:00,77Q24KXZ,Salmon Creek upstream Hwy 1,12.6,8.4,458,9.51,0.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,308sam,,,,-121.3582,35.8157
