BatchId,ClientId,SampleId,ClientSampleId,Capture time (MT),Lat,Long,SiteName,PublishStatus
JVB1227,oima-semmap@waterboards.ca.gov,ZMCYA8F9,,6/1/2021 12:00:09 PM,39.4653,-120.9672,517FCA046,Private
JVB1227,oima-semmap@waterboards.ca.gov,Z9LBZ98B,,6/30/2021 2:30:48 AM,39.5271,-120.2894,518cds022,Public
JVB1227,oima-semmap@waterboards.ca.gov,Z8833HXW,,8/20/2021 12:15:14 PM,39.0192,-120.1533,634MKCBLG,Public
JVB1227,oima-semmap@waterboards.ca.gov,YPI4LJCL,,7/21/2021 12:00:35 PM,39.5995,-120.5114,517lccyab,Public
JVB1227,oima-semmap@waterboards.ca.gov,W0090N4R,,6/14/2021 10:46:13 AM,39.26828716011049,-121.00142742026166,SSI Deer Creek site 2,Private
JVB1227,oima-semmap@waterboards.ca.gov,UC45V11N,,5/24/2021 12:30:32 PM,37.99472,-120.19267,536TMR003,Private
JVB1227,oima-semmap@waterboards.ca.gov,S9KU7UJP,,6/30/2021 11:00:02 AM,39.50262,-120.52744,517psc038,Public
JVB1227,oima-semmap@waterboards.ca.gov,RYS12P57,,6/14/2021 1:09:32 PM,39.25890235116085,-121.01014702029123,SSI Deer Creek Site 13,Private
JVB1227,oima-semmap@waterboards.ca.gov,RHHVTXAR,,8/17/2021 12:00:22 PM,38.6949,-120.2014,514SFA222,Public
JVB1227,oima-semmap@waterboards.ca.gov,QTJ1CPIH,,6/9/2021 12:00:27 PM,39.1657,-122.62009,513ccnasc,Private
JVB1227,oima-semmap@waterboards.ca.gov,NDEPCFLS,,8/9/2021 12:00:44 PM,39.3833,-120.2258,635prs001,Public
JVB1227,oima-semmap@waterboards.ca.gov,M0PHRLHQ,,6/16/2021 11:00:40 AM,39.445951,-121.046392,SSI Oregon Creek,Private
JVB1227,oima-semmap@waterboards.ca.gov,HE6ZA125,,7/14/2021 11:30:03 AM,39.2915,-122.559,522ce0027,Public
JVB1227,oima-semmap@waterboards.ca.gov,FQDGJ06F,,6/2/2021 12:00:27 PM,39.31907,-122.84589,111fs0008,Private
JVB1227,oima-semmap@waterboards.ca.gov,DKDLKMU1,,6/14/2021 10:40:40 AM,39.239841,-121.187204,SSI Deer Creek 6,Private
JVB1227,oima-semmap@waterboards.ca.gov,ATGJBD1F,,6/7/2021 2:00:15 AM,39.1842,-122.53555,513stcaiv,Private
JVB1227,oima-semmap@waterboards.ca.gov,8XNGYLAK,,8/4/2021 10:00:02 AM,38.4024,-119.7999,534arc279,Public
JVB1227,oima-semmap@waterboards.ca.gov,6L94UIRL,,8/31/2021 3:00:16 AM,38.0659,-119.226,630ps0005,Public
JVB1227,oima-semmap@waterboards.ca.gov,3ZCGO286,,6/16/2021 10:30:25 AM,39.224579,-121.268602,SSI Deer Creek 10,Private
JVB1227,oima-semmap@waterboards.ca.gov,3UMD85OW,,9/1/2021 10:00:14 AM,37.7094,-119.0582,603ps0073,Public
