BatchId,ClientId,SampleId,ClientSampleId,Capture time (MT),Lat,Long,SiteName,PublishStatus
JVB1326,oima-semmap@waterboards.ca.gov,YFQSP1CO,,7/29/2020 1:15:25 PM,39.26828236978825,-121.00189011098611,Deer Creek site 2,Public
JVB1326,oima-semmap@waterboards.ca.gov,Y50IWGKC,,9/2/2020 11:51:01 AM,38.8103,-120.0175,Truckee river, upper 634tru231,Public
JVB1326,oima-semmap@waterboards.ca.gov,XBMSFV5C,,10/16/2020 2:00:53 AM,39.298634,-122.548149,Stony creek 3,Public
JVB1326,oima-semmap@waterboards.ca.gov,VNTRF25N,,9/2/2020 12:06:42 PM,38.8103,-120.0175,Truckee river, upper 634tru231,Public
JVB1326,oima-semmap@waterboards.ca.gov,UC45V11N,,5/24/2021 12:30:32 PM,37.99472,-120.19267,536TMR003,Private
JVB1326,oima-semmap@waterboards.ca.gov,S3MA6GI2,,8/28/2020 9:30:16 AM,39.5271,-120.2894,Cold stream,Public
JVB1326,oima-semmap@waterboards.ca.gov,R0W0YB0K,,8/28/2020 11:45:15 AM,39.3028,-120.1206,Martis creek,Public
JVB1326,oima-semmap@waterboards.ca.gov,QTJ1CPIH,,6/9/2021 12:00:27 PM,39.1657,-122.62009,513ccnasc,Private
JVB1326,oima-semmap@waterboards.ca.gov,PQ5ZOKCT,,10/9/2020 12:20:43 PM,39.25873,-121.009602,Little deer creek ,Public
JVB1326,oima-semmap@waterboards.ca.gov,PIB2ND0I,,7/29/2020 10:36:12 AM,39.24052378503522,-121.18718934346747,site 6,Public
JVB1326,oima-semmap@waterboards.ca.gov,PFP3IAKW,,10/16/2020 4:11:18 AM,39.16721,-122.51625,Stanton creek 2,Public
JVB1326,oima-semmap@waterboards.ca.gov,P8RFOW4X,,10/16/2020 3:44:22 AM,39.16739,-122.52635,Stanton creek,Bartlett Springs rd,Public
JVB1326,oima-semmap@waterboards.ca.gov,O8JZ5APC,,10/9/2020 1:50:34 PM,39.407901,-121.07246,Oregon creek reference duplicate ,Public
JVB1326,oima-semmap@waterboards.ca.gov,NIS3JHUE,,10/9/2020 1:45:28 PM,39.407901,-121.07246,Oregon creek reference ,Public
JVB1326,oima-semmap@waterboards.ca.gov,NDYBOSCI,,9/2/2020 2:02:33 AM,38.8432,-120.3025,Jones fork silver creek,Public
JVB1326,oima-semmap@waterboards.ca.gov,MAX9U1SY,,9/2/2020 11:12:01 AM,38.7853,-120.0182,Unnamed trib. .5 mile above upper truckee,Public
JVB1326,oima-semmap@waterboards.ca.gov,LXNSFSRM,,10/16/2020 1:04:45 PM,39.291775,-122.559353,Stony creek 1,Public
JVB1326,oima-semmap@waterboards.ca.gov,I2TCAGTI,,10/16/2020 1:39:06 PM,39.29628,-122.551741,Stony creek 2,Public
JVB1326,oima-semmap@waterboards.ca.gov,HQHKQVOO,,10/9/2020 12:47:51 PM,39.268282,-121.00189,SSI Site 2, willow rd,Public
JVB1326,oima-semmap@waterboards.ca.gov,FQDGJ06F,,6/2/2021 12:00:27 PM,39.31907,-122.84589,111fs0008,Private
JVB1326,oima-semmap@waterboards.ca.gov,F6L847VI,,7/29/2020 12:35:23 PM,39.25873068321834,-121.00960269069186,Little Deer Creek Site 13,Public
JVB1326,oima-semmap@waterboards.ca.gov,DHKAAL0M,,10/16/2020 4:35:12 AM,39.16712,-122.50704,Stanton creek 3,Public
JVB1326,oima-semmap@waterboards.ca.gov,D9KE4M3W,,9/2/2020 10:05:03 AM,38.7646,-119.8565,W.fork carson river 633ps0259,Private
JVB1326,oima-semmap@waterboards.ca.gov,B38RWO34,,8/28/2020 10:45:37 AM,39.5055,-120.2731,Little truckee river,Public
JVB1326,oima-semmap@waterboards.ca.gov,ATGJBD1F,,6/7/2021 2:00:15 AM,39.1842,-122.53555,513stcaiv,Private
JVB1326,oima-semmap@waterboards.ca.gov,9UEWYW2S,,7/29/2020 11:40:26 AM,39.22338786088486,-121.26980929053799,Deer Creek site 10,Public
JVB1326,oima-semmap@waterboards.ca.gov,6OQTOL3R,,8/28/2020 4:31:00 AM,39.0811,-120.9944,Bear river,Public
JVB1326,oima-semmap@waterboards.ca.gov,38E9A0I2,,9/2/2020 10:14:12 AM,38.7646,-119.8565,W.fork carson river 633ps0259,Public
JVB1326,oima-semmap@waterboards.ca.gov,0MEH7CHZ,,7/29/2020 2:10:16 AM,39.40790107498487,-121.07246715808604,Oregon Creek,Public
