TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
ArthCOI,ESV_044013,Eukaryota,Oomycota,unk_class,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces sp. BOLD:AAO9952,HQ708196,82.2
ArthCOI,ESV_044013,Eukaryota,Oomycota,unk_class,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces laevis,HQ708195,81.6
ArthCOI,ESV_044012,Eukaryota,Oomycota,unk_class,unk_order,unk_family,Haptoglossa,Haptoglossa sp. DM2 4/12,KT257394,75.5
ArthCOI,ESV_044011,Eukaryota,Arthropoda,Insecta,Trichoptera,Philopotamidae,Dolophilodes,Dolophilodes novusamericanus,KX293281,96.2
ArthCOI,ESV_044011,Eukaryota,Arthropoda,Insecta,Trichoptera,Philopotamidae,Dolophilodes,Dolophilodes novusamericanus,JQ935327,95.5
ArthCOI,ESV_044011,Eukaryota,Arthropoda,Insecta,Trichoptera,Philopotamidae,Dolophilodes,Dolophilodes novusamericanus,HM400129,96.2
ArthCOI,ESV_044010,Eukaryota,Oomycota,unk_class,Albuginales,Albuginaceae,Pustula,Pustula obtusata,KT257396,78.5
ArthCOI,ESV_044010,Eukaryota,Oomycota,unk_class,Sclerosporales,Verrucalvaceae,Pachymetra,Pachymetra chaunorhiza,KJ654028,78.5
ArthCOI,ESV_044010,Eukaryota,Rhodophyta,Florideophyceae,Gigartinales,Acrotylaceae,Acrotylus,Acrotylus australis,HM916008,79.1
ArthCOI,ESV_044009,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,,,MG140170,93
ArthCOI,ESV_044009,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,,,MF736707,93.6
ArthCOI,ESV_044009,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,,,MF734751,93.6
ArthCOI,ESV_044009,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,,,MF733674,93.6
ArthCOI,ESV_044009,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,,,KM945159,93.6
ArthCOI,ESV_044009,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,,,KM939327,93
ArthCOI,ESV_044009,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus sp. 2 MEC-2013,KC750398,93
ArthCOI,ESV_044009,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus sp. 2 MEC-2013,KC750390,93
ArthCOI,ESV_044009,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus skirwithensis,HQ941608,93
ArthCOI,ESV_044008,Eukaryota,Discosea,Flabellinia,Dactylopodida,Vexilliferidae,Vexillifera,Vexillifera minutissima,MH349031,81
ArthCOI,ESV_044008,Eukaryota,Tubulinea,Elardia,Arcellinida,Hyalospheniidae,Nebela,Nebela flabellulum,KP691357,81
ArthCOI,ESV_044008,Eukaryota,Tubulinea,Elardia,Arcellinida,Hyalospheniidae,Nebela,Nebela tincta,JN849067,80.4
ArthCOI,ESV_044008,Eukaryota,Tubulinea,Elardia,Arcellinida,Hyalospheniidae,Cornutheca,Cornutheca ansata,JN849055,80.4
ArthCOI,ESV_044007,Eukaryota,Arthropoda,Insecta,Diptera,Pediciidae,Dicranota,Dicranota sp. BOLD-2016,KR633869,93.6
ArthCOI,ESV_044006,Eukaryota,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypridopsis,Cypridopsis vidua,HM884031,86.6
ArthCOI,ESV_044006,Eukaryota,Arthropoda,Ostracoda,Podocopida,Macrocyprididae,Macroscapha,Macroscapha opaca,GU566798,86
ArthCOI,ESV_044005,Eukaryota,Annelida,Clitellata,Crassiclitellata,Aeolosomatidae,Aeolosoma,Aeolosoma sp. WA13,MN986512,82.8
ArthCOI,ESV_044005,Eukaryota,Annelida,Clitellata,Haplotaxida,Naididae,Chaetogaster,Chaetogaster diaphanus,MG423151,82.2
ArthCOI,ESV_044005,Eukaryota,Annelida,Clitellata,Haplotaxida,Naididae,Stylaria,Stylaria lacustris,MG422520,82.2
ArthCOI,ESV_044005,Eukaryota,Annelida,Clitellata,Crassiclitellata,Aeolosomatidae,Aeolosoma,Aeolosoma sp. GG-2011,HQ691224,82.8
ArthCOI,ESV_044005,Eukaryota,Annelida,Clitellata,Haplotaxida,Naididae,Stylaria,Stylaria lacustris,AF534860,82.2
ArthCOI,ESV_044004,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Torrenticolidae,,,KR069511,93
ArthCOI,ESV_044004,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Torrenticolidae,Torrenticola,Torrenticola sp. BOLD:AAN9098,HQ939592,92.4
ArthCOI,ESV_044004,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Torrenticolidae,Torrenticola,Torrenticola sp. BOLD:AAN9098,HQ939589,93
ArthCOI,ESV_044004,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Torrenticolidae,,,HQ939588,92.4
ArthCOI,ESV_044004,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Torrenticolidae,Torrenticola,Torrenticola sp. BOLD:AAN9099,HQ939585,92.4
ArthCOI,ESV_044004,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Torrenticolidae,Torrenticola,Torrenticola sp. BOLD:AAN9098,HQ938807,92.4
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG22107-H01,MG071502,99.4
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG20371-E01,MF726261,99.4
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG23916-H09,MF725363,98.7
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG22369-D04,MF724146,99.4
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG24592-F12,MF724049,98.7
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG25425-C10,MF723485,98.7
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG20371-B09,MF721254,99.4
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG25698-G12,MF720547,99.4
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG25427-C08,MF719497,98.7
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG25427-G01,MF719040,98.7
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BIOUG25425-F03,MF718100,98.7
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BOLD-2016,KR965177,99.4
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BOLD-2016,KR964083,99.4
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BOLD:AAN5033,KM962735,98.7
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,,,KM947697,98.7
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,,,KM944441,99.4
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,,,KM934623,98.7
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,,,KM933641,98.7
ArthCOI,ESV_044003,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BOLD:AAN5033,KM916644,99.4
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Syrphidae,Rhingia,Rhingia trivittata,MH521932,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG472704,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG087182,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG086550,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG086151,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG085558,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG085463,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Heleomyzidae,Tephrochlamys,Tephrochlamys rufiventris,MG084660,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG084404,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG084236,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG084083,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG083549,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG083256,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG082806,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG082559,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG082336,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG081808,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG080901,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG080620,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG080581,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG080331,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG080314,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG079263,94.3
ArthCOI,ESV_044002,Eukaryota,Arthropoda,Insecta,Diptera,Hybotidae,,,MG078957,94.3
