TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Halamphora,Halamphora calidilacuna,NC_044464,96.4
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Halamphora,Halamphora americana,NC_044463,96.4
23S,ESV_178546,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros muellerii,MW004650,97
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,,,,,KM676741,97
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,,,,,KM676740,97
23S,ESV_178546,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira sp. 24 LG-2014,KJ671861,96.4
23S,ESV_178546,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros danicus,KJ671834,96.4
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,Amphiprora alata,KJ671831,97
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora pupula,HQ337538,96.7
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora pupula,HQ337537,97.3
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora pupula,HQ337530,97
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora pupula,HQ337520,96.4
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora obesa,HQ337515,97.3
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora lanceolata,HQ337514,97
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora caput,HQ337513,96.7
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora capitata,HQ337512,96.7
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora blackfordensis,HQ337511,96.7
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora bisexualis,HQ337510,97.3
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora auldreekie,HQ337509,97.3
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula sp. CCMP2746,HQ337472,96.7
23S,ESV_178546,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Fistulifera,Fistulifera pelliculosa,HQ337464,96.7
23S,ESV_178546,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana,EF067921,96.7
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina latissima,NC_049039,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphon,Scytosiphon promiscuus,NC_046447,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,Chordariaceae,Cladosiphon,Cladosiphon okamuranus,NC_046005,91.3
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria solidungula,NC_044690,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria digitata,NC_044689,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,Chordariaceae,Pleurocladia,Pleurocladia lacustris,NC_032045,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Agaraceae,Costaria,Costaria costata,NC_028502,90.7
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina japonica,NC_018523,90.7
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Saccharina,Saccharina sp. ye-B,MW038824,90.7
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,Laminaria rodriguezii,MT732096,91
23S,ESV_178545,Eukaryota,unk_phylum,unk_class,unk_order,unk_family,Schizocladia,Schizocladia ischiensis,MT226925,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Lessoniaceae,Lessonia,Lessonia flavicans,MN561187,90.4
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,Ectocarpus siliculosus,MN181444,90.4
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphon,Scytosiphon lomentaria,MK798154,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Hapterophycus,Hapterophycus canaliculatus,MF591718,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Endarachne,Endarachne binghamiae,MF460360,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Alariaceae,Undaria,Undaria pinnatifida,KU200463,90.7
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,,,,KF367782,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Petalonia,Petalonia fascia,KF367780,91
23S,ESV_178545,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Colpomenia,Colpomenia sinuosa,EF426596,91.3
23S,ESV_178544,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Halamphora,Halamphora calidilacuna,NC_044464,96.4
23S,ESV_178544,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Halamphora,Halamphora americana,NC_044463,96.4
